	SRR925703	SRR925714	SRR925716	SRR925726	SRR934637	SRR925697	SRR934636	SRR925689	SRR925690	SRR925691	SRR925692	SRR925702	SRR925707	SRR925708	SRR925709	SRR925710	SRR925713	SRR925715	SRR925717	SRR934638	SRR934639	SRR925706	SRR925693	SRR925694	SRR925695	SRR925696	SRR925698	SRR925699	SRR925700	SRR925701	SRR925704	SRR925705	SRR925711	SRR925718	SRR925723	SRR925724	SRR925725	SRR925727	SRR925729	SRR925735	SRR925736	SRR925740	SRR925741	SRR925742	SRR934631	SRR934632	SRR934633	SRR934640	SRR934641	SRR934642	SRR934643	SRR934644	SRR934645
ENSG00000137936_BCAR3	492.3	336.48	298.77	0.0	0.0	556.14	1917.27	381.85	0.0	262.05	284.11	134.94	0.0	178.86	0.0	146.64	304.41	121.24	367.26	560.14	0.0	93.09	358.69	0.0	88.99	101.13	0.0	63.73	93.67	125.81	186.42	212.09	72.32	87.07	42.61	90.49	198.83	131.79	122.29	500.49	228.34	106.76	193.99	156.71	153.59	140.51	116.65	0.0	0.0	554.56	236.32	0.0	160.82
ENSG00000139915_MDGA2	5.6	25.9	0.5	2.93	0.0	0.0	24.12	0.0	0.0	0.0	0.0	3.49	0.0	0.0	0.0	3.93	3.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.76	0.0	0.0	0.0	0.0	0.0	0.0	8.0	11.62	0.0	0.0	0.0	0.0
ENSG00000102547_CAB39L	54.36	151.07	70.49	224.88	1256.13	212.8	457.32	39.11	65.47	98.99	68.21	104.74	466.54	40.3	39.37	314.26	73.84	2305.13	213.11	124.47	232.64	207.95	1369.36	178.23	1097.91	831.82	2089.39	291.58	214.16	188.39	401.54	342.33	195.66	244.56	821.56	391.02	3006.41	1361.2	0.0	215.56	861.86	414.78	816.25	192.73	346.98	404.86	540.63	741.44	1134.91	2443.36	659.99	0.0	124.67
ENSG00000175826_CTDNEP1	0.0	0.0	21602.64	0.0	0.0	0.0	0.0	0.0	42422.09	28464.43	32770.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33739.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12175.28	0.0	0.0
ENSG00000236320_SLFN14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000130816_DNMT1	5089.58	5461.29	4143.53	8366.95	0.0	5594.2	0.0	4017.31	0.0	3072.84	3243.51	3160.33	1112.1	5127.33	3572.04	5872.9	4915.35	2018.26	10286.93	1939.55	0.0	3317.6	0.0	1704.43	6391.07	1911.99	5141.56	1769.99	1786.62	1400.02	0.0	1865.53	2012.01	4785.71	4119.71	1432.14	2474.62	4886.39	0.0	1950.66	1845.77	0.0	1089.14	1265.03	0.0	2051.38	1487.06	1401.16	0.0	0.0	1829.56	0.0	2239.56
ENSG00000110900_TSPAN11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.14	0.0	0.0	31.09	0.0	0.0	0.0	10.18	0.0	10.12	0.0	0.0	0.0	0.0	0.0	782.36	0.0	0.0	0.0	15.9	0.0	0.0	0.0	0.0	0.0	0.0	9.55	0.0	0.0	0.0	0.0	0.0	0.0	8.33	0.0	0.0
ENSG00000261024_GS1-279B7.1	0.0	0.0	1.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000166503_HDGFRP3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000127481_UBR4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2592.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1910.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
