	SRR1267943	SRR1267944	SRR1267945	SRR1267946	SRR1267947	SRR1267948	SRR1267949	SRR1267950	SRR1267951	SRR1267952	SRR1267953	SRR1267954	SRR1267955	SRR1267956	SRR1267957	SRR1267959	SRR1267960	SRR1267961	SRR1267962	SRR1267963	SRR1267964	SRR1267965	SRR1267966	SRR1267967	SRR1267968	SRR1267969	SRR1267970	SRR1267971	SRR1267972	SRR1267973	SRR1267974	SRR1267975	SRR1267976	SRR1267977	SRR1267978	SRR1267979	SRR1267980	SRR1267981	SRR1267982	SRR1267983	SRR1267984	SRR1267985	SRR1267986	SRR1267987	SRR1267988	SRR1267989	SRR1267990	SRR1267991	SRR1267958
ENSMUSG00000020696_Rffl	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1343.63	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000072930_Gm15107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3634.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.51	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000087038_2900079G21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000041164_Zmiz2	0.0	0.0	0.0	7330.39	0.0	0.0	0.0	0.0	0.0	3709.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4236.1	3313.44	0.0	0.0	0.0	130.38	0.0	580.05	0.0	0.0	0.0	1924.78	0.0	3.37	0.0	0.0	0.0	0.0	0.0	396.24	55.45	0.0	2987.77	0.0
ENSMUSG00000026134_Prim2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16294.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000021451_Sema4d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000025217_Btrc	0.0	0.0	0.0	2720.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000064043_Trerf1	0.0	0.0	0.0	18.83	8.96	0.0	159.88	0.0	0.0	55.57	0.0	0.0	45.28	12.81	64.47	0.0	16.12	0.0	23.05	0.0	35.31	60.91	0.0	0.0	0.0	0.0	6.91	0.0	115.2	0.0	68.32	21.38	0.0	82.83	22.16	0.0	82.69	0.0	33.19	0.0	0.0	187.05	0.0	0.0	68.81	15.91	0.0	0.0	21.66
ENSMUSG00000033161_Atp1a1	0.0	0.0	2321.18	393.61	0.0	0.0	0.0	537.43	0.0	311.86	266.58	4611.37	9.51	23.11	0.0	57.0	0.0	702.62	1709.65	41.12	923.16	57.11	0.0	0.0	72.02	241.18	4.4	0.0	0.0	0.0	1132.31	450.55	425.81	20.15	118.75	320.95	38.67	123.26	43.07	4.39	0.0	1133.82	542.06	0.0	1267.92	97.54	2509.79	109.42	420.9
ENSMUSG00000047022_Mipol1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	423.44	0.0	0.0	0.0	0.0	36.38	0.0	0.0	0.0	257.6	0.0	588.76	400.81	0.0	0.0	223.84	0.0	14.15	0.0	0.0	272.63	0.0	0.0	136.52	8.1	82.88	20.4	0.0	0.0	23.08	0.0	1.83	2.36	0.0	0.0	0.0	1.79	0.0	0.0	878.95
ENSMUSG00000079018_Ly6c1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000078492_1700045H11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000026072_Il1r1	0.0	0.0	0.0	0.0	1018.33	0.0	0.0	0.0	0.0	1270.64	0.0	0.0	0.0	415.2	0.0	628.58	330.23	0.0	372.0	1943.01	3.34	216.81	2047.78	0.0	0.0	0.0	492.23	0.0	0.0	0.0	138.98	84.39	1.77	0.0	0.0	0.0	0.0	0.0	0.0	97.5	0.0	0.0	0.0	0.0	324.81	0.0	3.62	137.27	1282.82
ENSMUSG00000034573_Ptpn13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3425.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000045693_Nlrp4e	0.0	0.0	0.0	0.0	1615.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000002489_Tiam1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	335.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000040660_Cyp2b9	0.0	0.0	0.0	6.41	0.0	0.0	299.46	5.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.65	2.01	18.07	0.0	0.0	0.0	10.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.5	0.0	0.0	0.0	0.0	1.19	0.0	0.0	8.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0	0.0
ENSMUSG00000020409_Slu7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40509.83	0.0	37044.54	17841.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15240.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000021597_Ankrd32	66559.64	0.0	0.0	0.0	0.0	6230.8	0.0	28529.19	0.0	0.0	0.0	0.0	6307.02	0.0	0.0	0.0	486.7	0.0	2185.14	9658.77	0.0	954.0	0.0	0.0	0.0	0.0	7306.3	0.0	0.0	0.0	0.0	1334.94	0.0	0.0	0.0	0.0	0.0	0.0	6015.93	0.0	0.0	0.0	0.0	0.0	1629.21	0.0	0.0	0.0	0.0
ENSMUSG00000063458_1700112E06Rik	799.95	0.0	0.0	443.07	333.67	0.0	0.0	214.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000024696_Lpxn	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000025090_Ccdc172	0.0	26767.21	27296.35	7349.2	1877.88	6496.3	0.0	3935.05	17806.84	0.0	1612.8	3286.73	548.39	0.0	0.0	0.0	0.0	0.0	40.02	1476.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.98	0.0	0.0	0.0	61.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	722.19	14385.23	176.78	0.0
ENSMUSG00000063297_Luzp2	0.0	0.0	0.0	6.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
